"household_questionnaire_id","homestead_dwelling_area","land_for_cultivation","land_for_aquaculture_ponds","perm_fallow_land","orchard_land","total_property","land_owned_women","landarea_women","who_owns_it","since_when_month","since_when_year","reason_transfer","woman_homestead","woman_perm_fallow_land","woman_aquaculture_ponds","woman_orchard","woman_land_cultivation","how_many_agricultural_plots","plot_size_pl1_bore_a","plot_size_pl2_bore_b","plot_size_pl3_bore_c","type_pump_pl1_bore_a","type_pump_pl2_bore_b","type_pump_pl3_bore_c","pump_fixed_pl1_bore_a","pump_fixed_pl2_bore_b","pump_fixed_pl3_bore_c","cropecon_plot_pl1_bore_a","cropecon_plot_pl2_bore_b","cropecon_plot_pl3_bore_c","five_years_back_totalland","mode_of_pay_lease","if_fixed_leaserate_per_katha","if_share_of_produce_prop1","if_share_of_produce_prop2","year","district","TreatmentControl","TC"
"T204807001",3,60,0,10,0,73,1,73,2,2,2072,"AFTER DEATH OF HER HUSBAND",3,10,0,0,60,9,6,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA,73,NA,NA,NA,NA,2018,"Saptari","Control",0
"T103209004",0.5,6,0,0,0,6.5,1,6,2,7,2050,"WOMEN RIGHT",NA,NA,NA,NA,6,3,3,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,6.5,NA,NA,NA,NA,2018,"Saptari","Control",0
"C001401001",2,50,0,0,1,53,1,17,2,3,2057,"PAY LESS TAX",0,0,0,0,17,9,12,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,53,2,NA,50,50,2018,"Saptari","Control",0
"T110502004",2,35,0,0,2,39,1,8,2,3,2045,"PAY LESS TAX",NA,NA,NA,NA,8,4,2,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,39,NA,NA,NA,NA,2018,"Saptari","Control",0
"T104201003",4,36,0,0,0,40,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,9,25,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,40,2,NA,50,50,2018,"Saptari","Control",0
"T109205004",2,60,0,10,5,77,1,45,2,7,2060,"WOMEN RIGHT",0,0,0,0,45,7,20,20,NA,5,3,NA,1,2,NA,1,1,NA,77,NA,NA,NA,NA,2018,"Saptari","Treatment",1
"T109203003",3.5,21,0,0,0,24.5,1,18,2,8,2060,"PAY LESS TAX",0,0,0,0,18,2,4,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,24.5,NA,NA,NA,NA,2018,"Saptari","Control",0
"T109202002",2,80,12,0,3,97,1,40,2,7,2061,"PAY LESS TAX",0,0,0,0,40,7,40,10,NA,1,1,NA,2,2,NA,1,1,NA,97,2,NA,50,50,2018,"Saptari","Control",0
"T110505001",1,60,9,0,40,110,1,40,2,7,2050,"PAY LESS TAX",0,0,9,0,31,8,20,40,8,5,3,1,1,2,2,1,1,1,110,2,NA,50,50,2018,"Saptari","Treatment",1
"T109201006",1,3,0,0,0,4,1,3,2,5,2069,"PAY LESS TAX",0,0,0,0,3,1,3,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,4,2,0,50,50,2018,"Saptari","Control",0
"T210405002",2,45,20,20,0,87,1,5,2,4,2056,"PAY LESS TAX",0,0,0,0,5,8,20,10,NA,3,1,NA,2,2,NA,1,1,NA,87,NA,NA,NA,NA,2018,"Saptari","Control",0
"T210407003",2,60,0,0,12,74,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,7,40,3,NA,2,2,NA,2,2,NA,1,1,NA,74,NA,NA,NA,NA,2018,"Saptari","Control",0
"T203907006",1,20,0,0,0,21,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,3,8,5,NA,1,1,NA,2,2,NA,1,2,NA,21,NA,NA,NA,NA,2018,"Saptari","Control",0
"T203908005",2,15,0,0,5,22,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,3,10,5,NA,3,1,NA,2,2,NA,1,1,NA,22,NA,NA,NA,NA,2018,"Saptari","Control",0
"T203900307",1,15,0,0,12,28,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,3,12,3,NA,1,1,NA,2,2,NA,1,2,NA,NA,NA,NA,NA,NA,2018,"Saptari","Control",0
"T106604005",3,20,0,0,0,23,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,2,10,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,23,NA,NA,NA,NA,2018,"Saptari","Control",0
"T203901004",1.5,17,0,0,30,48.5,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,4,10,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA,48.5,NA,NA,NA,NA,2018,"Saptari","Control",0
"T106604003",1.5,40,0,0,1,42.5,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,5,8,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,42,NA,NA,NA,NA,2018,"Saptari","Control",0
"T103207002",7,240,9,0,0,256,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,9,7,NA,1,1,NA,1,2,NA,1,2,NA,256,NA,NA,NA,NA,2018,"Saptari","Control",0
"T104201002",2,40,18,0,0,60,1,35,9,4,2065,"PROPERTY NOT DIVIDED BETWEEN BORTHERS SO NAMED THE PROPERTY AFTER SISTER",NA,NA,NA,NA,35,8,4,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,60,NA,NA,NA,NA,2018,"Saptari","Control",0
"T205104005",5,20,0,0,0,25,1,4,2,NA,2050,"PAY LESS TAX",0,0,0,0,4,4,5,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,25,NA,NA,NA,NA,2018,"Saptari","Control",0
"C001410002",2,30,0,0,0,32,1,30,2,1,2061,"BECAUSE HE DOES NOT WANT TO SHARE LAND WITH HIS BROTHER",0,0,0,0,30,5,6,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,32,NA,NA,NA,NA,2018,"Saptari","Control",0
"T104209001",3,80,1.5,0,0,84.5,1,22,2,NA,2030,"BOUGHT NAME IN WOMANS NAME",NA,NA,NA,NA,22,8,6,3,NA,4,1,NA,1,2,NA,1,2,NA,84.5,2,0,50,50,2018,"Saptari","Treatment",1
"T205104006",2.5,19,0,0,2,23.5,1,10,2,4,2072,"PAY LESS TAX",0,0,0,0,10,4,10,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,23.5,NA,NA,NA,NA,2018,"Saptari","Control",0
"T110503003",2,20,0,0,0,22,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,6,7,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,22,2,0,50,50,2018,"Saptari","Control",0
"T109203005",1,25,20,0,3,49,1,2,2,NA,2057,"PAY LESS TAX",NA,NA,NA,NA,3,4,20,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,49,NA,NA,50,50,2018,"Saptari","Control",0
"T109202008",2,30,0,0,0,32,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,16,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA,32,NA,NA,NA,NA,2018,"Saptari","Control",0
"T210408001",1.5,30,19,3,0,53.5,1,15,4,NA,2060,"AFTER DEATH OF HER HUSBAND",NA,NA,NA,NA,15,5,4,14,5,4,1,1,1,2,2,1,2,2,53.5,NA,NA,NA,NA,2018,"Saptari","Treatment",1
"T106605002",3,25,0,0,1,29,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,12,2.5,4,NA,4,3,NA,1,2,NA,1,2,NA,29,NA,NA,NA,NA,2018,"Saptari","Treatment",1
"T203901002",7,110,8,12,6,143,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,45,22,NA,5,1,NA,1,1,NA,1,2,NA,143,NA,NA,NA,NA,2018,"Saptari","Treatment",1
"T109202009",3,30,0,0,0.5,33.5,1,5,2,NA,2072,"PAY LESS TAX",0,0,0,0,5,3,10,5,NA,1,1,NA,2,2,NA,1,NA,NA,33,2,NA,50,50,2018,"Saptari","Control",0
"T210706005",3,45,0,0,0,48,1,25,2,11,2067,"PAY LESS TAX",NA,NA,NA,NA,25,9,11,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,48,NA,NA,NA,NA,2018,"Saptari","Control",0
"T210709001",1.5,25,0,0,2.5,29,1,NA,2,NA,2068,"",NA,NA,NA,NA,25,3,8,1.5,NA,4,1,NA,1,2,NA,1,2,NA,29,1,NA,NA,NA,2018,"Saptari","Treatment",1
"T203901008",7,40,0,0,60,107,1,8,2,NA,2062,"PAY LESS TAX",0,0,0,0,8,6,16,9,4,5,5,5,1,2,2,NA,NA,NA,107,2,0,50,50,2018,"Saptari","Control",0
"T203908009",2,17,0,0,5,24,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,4,7,NA,NA,1,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2018,"Saptari","Control",0
"T210703006",2,40,0,0,0.5,42.5,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,5,5,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,42.5,NA,NA,NA,NA,2018,"Saptari","Control",0
"T108803015",5,80,1.5,1.5,10,98,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,9,30,11,NA,1,1,NA,2,2,NA,1,2,NA,98,2,NA,50,50,2018,"Saptari","Control",0
"C009006001",5,30,0,0,0,35,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,6,5,3,2,1,1,1,2,2,2,1,1,1,35,NA,NA,NA,0,2018,"Saptari","Control",0
"T106006001",5,100,0,0,5,110,1,15,2,4,2067,"BECAUSE SHE IS PART OF THE FAMILY",0,0,0,0,15,7,20,15,13,NA,NA,NA,NA,NA,NA,1,1,1,110,2,NA,50,50,2018,"Saptari","Control",0
"T107609001",7,60,0,1,4,72,1,30,2,7,2059,"BECAUSE SHE IS PART OF THE FAMILY",0,0,0,0,30,13,5,1.5,1,1,1,1,2,2,2,1,1,1,72,2,0,50,50,2018,"Saptari","Control",0
"T108808014",2,50,0,0,30,82,1,82,2,3,2062,"BECAUSE SHE IS PART OF THE FAMILY",2,0,0,30,50,4,30,14,NA,1,1,NA,2,2,NA,1,2,NA,75,NA,NA,NA,0,2018,"Saptari","Control",0
"C001701002",2,40,0,0,0,42,1,24,2,9,2046,"BECAUSE SHE IS PART OF THE FAMILY",0,0,0,0,24,4,24,7,NA,5,5,NA,2,2,NA,1,2,NA,42,NA,NA,NA,NA,2018,"Saptari","Control",0
"C008508001",3,30,0,2,3,38,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,7,8,7,4,2,2,NA,2,2,2,1,1,1,38,2,NA,50,50,2018,"Saptari","Control",0
"T107104001",2,110,0,4,3,119,1,30,2,7,2045,"PAY LESS TAX",0,0,0,0,30,5,34,30,4,3,1,1,2,2,2,1,1,1,126,2,NA,50,50,2018,"Saptari","Control",0
"T102009002",1,54,0,0,5,60,1,1,2,3,2068,"PAY LESS TAX",0,0,0,1,0,7,20,10,1,1,1,1,2,2,2,1,1,1,60,2,NA,50,50,2018,"Saptari","Control",0
"T102007003",4,17,0,0,2,23,1,4,1,2,8,"PAY LESS TAX",4,0,0,0,0,5,3,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,23,NA,NA,NA,NA,2018,"Saptari","Control",0
"T106006002",2,60,0,0,0,62,1,10,2,9,2039,"",0,0,0,0,10,3,15,10,10,NA,NA,NA,NA,NA,NA,1,1,1,62,2,2,50,50,2018,"Saptari","Control",0
"C009006002",1,35,4,0,1,41,1,9,2,5,2065,"PAY LESS TAX",0,0,0,0,9,10,7,6,4,2,2,1,2,2,2,1,1,1,41,NA,NA,NA,0,2018,"Saptari","Control",0
"T211002001",2,5,0,0,0,7,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,5,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,7,2,NA,50,50,2018,"Saptari","Control",0
"T107605005",0.600000023841858,20,0,0,3,23.6000003814697,1,10,2,3,2062,"BECAUSE SHE IS A PART OF THE FAMILY",0,0,0,0,10,5,10,4,NA,1,1,NA,2,2,NA,1,2,NA,10,NA,NA,NA,NA,2018,"Saptari","Control",0
"T104305001",1,20,0,0,0,21,1,5,2,7,2050,"WOMEN RIGHT",0,0,0,0,5,2,10,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,21,NA,NA,NA,NA,2018,"Saptari","Control",0
"C009006003",8,40,0,5,10,63,1,20,4,6,2039,"PAY LESS TAX",0,0,0,0,20,7,20,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,63,NA,NA,NA,NA,2018,"Saptari","Control",0
"T107104002",4.09999990463257,50,0,0,2.09999990463257,56.2000007629395,1,56.2000007629395,1,3,2066,"AFTER DEATH OF HER HUSBAND",4.09999990463257,0,0,2.09999990463257,50,8,15,8,4,1,1,1,2,2,2,1,1,1,57,2,NA,50,50,2018,"Saptari","Control",0
"T102007001",2,200,0,0,20,222,1,100,2,8,20,"PAY LESS TAX",0,0,0,0,100,25,30,40,40,5,2,2,1,2,2,1,1,1,222,NA,NA,NA,NA,2018,"Saptari","Treatment",1
"T102007004",1,70,0,0,2.5,73.5,1,70,2,5,2055,"PAY LESS TAX",0,0,0,0,70,7,20,11,6,2,1,2,2,2,2,1,1,1,73.5,2,NA,40,60,2018,"Saptari","Control",0
"C001401004",4,16,0,0,0,20,1,20,2,NA,2063,"PAY LESS TAX",4,0,0,0,16,2,10,6,NA,1,1,NA,2,2,NA,1,2,NA,20,NA,NA,0,0,2018,"Saptari","Control",0
"T104203004",2,40,0,0,2,44,1,3,2,NA,2050,"IT WAS GIVEN TO HER BY HER FATHER",0,0,0,0,3,2,6,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,44,NA,NA,0,0,2018,"Saptari","Control",0
"T110502003",1,9,0,0,0,10,1,10,2,NA,2068,"PAY LESS TAX",1,0,0,0,9,2,5,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,10,NA,NA,0,0,2018,"Saptari","Control",0
"T210708002",2.5,60,6,0,2,70.5,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,10,13,13,NA,5,1,NA,1,1,NA,1,2,NA,70.5,NA,NA,0,0,2018,"Saptari","Treatment",1
"T203908001",0.5,30,0,0,1,31.5,1,11,2,NA,2056,"PAY LESS TAX",0,0,0,0,11,12,10,NA,NA,5,NA,NA,1,NA,NA,1,NA,NA,31.5,NA,NA,0,0,2018,"Saptari","Treatment",1
"T203903003",0.5,30,0,0,0.5,31,1,31,2,NA,2062,"PAY LESS TAX",0.5,0,0,0.5,30,2,20,10,NA,3,3,NA,2,2,NA,1,2,NA,31,NA,NA,0,0,2018,"Saptari","Control",0
"T106604004",3,35,0,0,2,40,1,40,1,NA,2030,"PAY LESS TAX",3,0,0,2,35,3,27,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,40,NA,NA,0,0,2018,"Saptari","Control",0
"T206702001",3.5,80,0,0,10,93.5,1,10,2,NA,2036,"PAY LESS TAX",0,0,0,10,0,30,10,5,NA,3,3,NA,2,2,NA,1,2,NA,93.5,NA,NA,0,0,2018,"Saptari","Control",0
"T109202010",0.5,20,0,0,1,21.5,2,NA,NA,NA,NA,"",0,0,0,0,0,6,7,6,NA,1,1,NA,2,2,NA,1,2,NA,21.5,NA,NA,0,0,2018,"Saptari","Control",0
"T109201007",1.5,25,0,0,5,31.5,1,1,2,NA,2048,"IT WAS GIVEN TO HER BY HER FATHER",0,0,0,0,1,3,10,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA,31.5,NA,NA,0,0,2018,"Saptari","Control",0
"T110510001",2.5,40,0,0,1,43.5,1,40,1,NA,2056,"PAY LESS TAX",2.5,0,0,1,40,5,2,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,43.5,NA,NA,0,0,2018,"Saptari","Control",0
"T103207003",1,70,0,0,0,71,1,40,2,NA,2040,"PAY LESS TAX",0,0,0,0,40,8,6,3,NA,3,1,NA,2,2,NA,1,2,NA,71,NA,NA,0,0,2018,"Saptari","Control",0
"T103204001",4,47,1.5,0,3,55.5,1,1,2,NA,2046,"IT WAS GIVEN TO HER BY HER FATHER",0,0,0,0,1,4,27,NA,NA,5,NA,NA,1,NA,NA,1,NA,NA,55.5,NA,NA,0,0,2018,"Saptari","Treatment",1
"T210701004",2.5,120,1,0,10,133.5,1,12,2,NA,2043,"IT WAS GIVEN TO HER BY HER FATHER",0,0,0,2,10,10,42,25,20,5,3,1,1,2,2,1,1,1,133.5,2,5050,50,50,2018,"Saptari","Treatment",1
"T210701007",0.5,15,0,0,2,17.5,1,2,2,NA,2048,"IT WAS GIVEN TO HER BY HER FATHER",0,0,0,0,2,5,2,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,17.5,NA,NA,0,0,2018,"Saptari","Control",0
"T109203001",1.5,36,4.5,0,0.5,42.5,1,0.5,2,NA,2072,"PAY LESS TAX",0,0,0,0.5,0,6,10,10,NA,5,1,NA,1,2,NA,1,2,NA,42.5,NA,NA,0,0,2018,"Saptari","Treatment",1
"T210407004",0.5,45,0,5,1.5,52,2,NA,NA,NA,NA,"",0,0,0,0,0,5,5,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA,52,NA,NA,0,0,2018,"Saptari","Control",0
"C008109001",3,240,40,0,3,286,1,160,2,NA,2064,"PAY LESS TAX",0,0,0,0,160,9,111,50,12,2,3,1,2,2,2,1,1,1,286,NA,NA,0,0,2018,"Saptari","Control",0
"T200103002",2,30,60,0,0,92,1,10,2,5,2050,"PAY LESS TAX",0,0,0,0,10,2,5,5,5,5,1,1,1,2,2,1,1,1,92,NA,NA,0,0,2018,"Saptari","Treatment",1
"T107607004",5,45,10,0,0,60,1,30,2,8,2060,"PAY LESS TAX",5,0,10,0,25,4,15,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,50,2,0,50,50,2018,"Saptari","Control",0
"T108803001",3,45,0,0,0,48,1,20,2,5,2050,"",0,0,0,0,20,4,15,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA,48,NA,0,0,0,2018,"Saptari","Control",0
"T108804002",1,60,0,0,2,63,1,10,4,1,2070,"PAY LESS TAX",1,0,0,0,10,3,20,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,63,2,0,50,50,2018,"Saptari","Control",0
"T203309001",5,200,10,0,20,235,1,12,2,7,2060,"",0,0,0,0,40,10,120,50,30,2,2,1,2,2,2,1,1,1,235,2,0,50,50,2018,"Saptari","Control",0
"T203308002",1,60,0,0,2,63,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,8,40,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,63,NA,0,0,0,2018,"Saptari","Control",0
"T100503002",2,70,0,0,2,74,1,40,2,4,2045,"PAY LESS TAX",0,0,0,0,40,5,14,16,13,5,2,2,1,2,2,1,1,1,74,2,0,50,50,2018,"Saptari","Treatment",1
"T100501007",4,20,0,0,1,25,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,4,10,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,NA,NA,0,0,0,2018,"Saptari","Control",0
"T100505008",1,600,0,0,0,601,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,8,10,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA,601,NA,0,0,0,2018,"Saptari","Control",0
"T109901004",1,15,0,0,0,16,1,16,1,2,2047,"PAY LESS TAX",1,0,0,0,15,3,15,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,16,NA,0,0,0,2018,"Saptari","Control",0
"T109901005",2,118,0,0,0,120,1,40,2,5,2050,"PAY LESS TAX",0,0,0,0,40,7,30,25,NA,2,2,NA,1,2,NA,1,1,NA,120,2,0,50,50,2018,"Saptari","Control",0
"T205105003",2,60,0,100,20,182,1,59,3,5,2065,"PAY LESS TAX",2,0,0,17,40,4,40,20,NA,5,2,NA,1,2,NA,1,1,NA,182,2,0,50,50,2018,"Saptari","Treatment",1
"T110507002",1,20,0,20,0,41,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,3,15,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,41,2,0,50,50,2018,"Saptari","Control",0
"C004703001",2,40,0,0,5,47,1,30,2,5,2030,"PAY LESS TAX",0,0,0,0,30,4,30,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,47,NA,0,0,0,2018,"Saptari","Control",0
"C001705001",1,60,40,0,20,121,1,20,1,5,2040,"PAY LESS TAX",0,0,0,0,20,NA,15,12,10,2,2,2,2,2,2,1,1,1,121,2,0,50,50,2018,"Saptari","Control",0
"T200101005",2,30,1,0,2,35,1,10,2,2,2060,"PAY LESS TAX",0,0,0,0,10,5,10,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,NA,NA,0,0,0,2018,"Saptari","Control",0
"T200102004",2,68,0,0,0,70,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,5,15,10,NA,1,2,NA,2,2,NA,1,2,NA,NA,2,0,50,50,2018,"Saptari","Control",0
"T200104003",2,5,0,0,0,7,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,5,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA,NA,2,0,50,50,2018,"Saptari","Control",0
"T201105001",0.5,9,0,0,0,9.5,1,95,2,5,2060,"IT WAS BOUGHT IN HER NAME",0.5,0,0,0,9,1,9,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA,9.5,2,0,50,50,2018,"Saptari","Control",0
"C009406001",3,78,0,0,2,83,1,30,2,7,2060,"PAY LESS TAX",0,0,0,0,30,3,10,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,NA,2,0,50,50,2018,"Saptari","Control",0
"T109902001",1,20,0,8,2,31,1,8,2,2,2050,"PAY LESS TAX",0,0,0,0,8,NA,8,NA,NA,5,NA,NA,1,NA,NA,1,NA,NA,31,NA,0,0,0,2018,"Saptari","Treatment",1
"T200101001",3,70,0,0,5,78,1,20,2,4,2050,"PAY LESS TAX",0,0,0,0,20,10,15,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,NA,2,0,50,50,2018,"Saptari","Control",0
"T203309003",5,80,8,0,19,112,1,8,2,5,2065,"PAY LESS TAX",0,0,0,0,8,7,20,10,10,2,2,2,2,2,2,1,1,1,112,2,0,50,50,2018,"Saptari","Control",0
"T107607003",4,80,0,0,12,96,1,10,2,1,2065,"PAY LESS TAX",0,0,0,0,10,6,20,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,NA,2,0,50,50,2018,"Saptari","Control",0
"T107601002",5,60,0,0,2,67,1,62,2,5,2040,"WOMEN RIGHT",0,0,0,2,60,5,60,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA,67,NA,0,0,0,2018,"Saptari","Control",0
"T210904001",5,100,9,0,15,129,1,20,2,6,2040,"PAY LESS TAX",0,0,0,0,20,8,48,20,20,5,2,2,1,2,2,1,1,1,200,2,0,50,50,2018,"Saptari","Treatment",1
"T200101003",2,7,0,0,0,9,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,7,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,9,NA,0,0,0,2018,"Saptari","Control",0
"T210904002",0.5,20,0,0,2,22.5,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,6,10,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,21,NA,0,0,0,2018,"Saptari","Control",0
"T210905004",2,45,0,0,2,49,1,8,2,7,2060,"PAY LESS TAX",0,0,0,0,8,5,14,8,NA,2,1,NA,2,2,NA,1,1,NA,49,2,0,50,50,2018,"Saptari","Control",0
"T210101002",2,109,18,0,3,132,1,25,3,5,2071,"PAY LESS TAX",2,0,0,0,26,4,26,73,NA,5,2,NA,1,2,NA,1,1,NA,132,2,0,50,50,2018,"Saptari","Treatment",1
"T210102001",2,150,0,0,5,157,1,15,2,2,2060,"PAY LESS TAX",0,0,0,0,15,12,100,NA,NA,2,NA,NA,1,NA,NA,1,NA,NA,NA,1,0,50,50,2018,"Saptari","Control",0
"T100509003",2,30,0,0,4,36,1,5,2,5,2060,"",0,0,0,0,5,NA,10,5,NA,2,1,NA,2,2,NA,1,1,NA,36,NA,0,0,0,2018,"Saptari","Control",0
"T100503001",3,30,0,0,1,34,1,34,2,5,2071,"PAY LESS TAX",3,0,0,1,20,3,20,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,34,NA,0,0,0,2018,"Saptari","Control",0
"T100502006",1,10,0,0,0,11,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,10,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,11,NA,0,0,0,2018,"Saptari","Control",0
"T100103003",2,80,2,0,4,88,1,50,2,5,2045,"PAY LESS TAX",0,0,0,0,50,5,50,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,88,NA,0,0,0,2018,"Saptari","Control",0
"T100505004",0.899999976158142,32,0,0,2,34.9000015258789,1,5,2,1,2055,"PAY LESS TAX",0,0,0,0,5,3,20,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA,50,NA,0,0,0,2018,"Saptari","Control",0
"T109903002",4,100,0,0,0,104,1,20,2,5,2060,"PAY LESS TAX",0,0,0,0,20,15,15,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,104,NA,NA,NA,NA,2018,"Saptari","Control",0
"T109908003",0.699999988079071,10,0,0,0,10.6999998092651,1,10,1,1,2045,"PAY LESS TAX",0.699999988079071,0,0,0,10,4,10,NA,NA,3,NA,NA,2,1,NA,NA,NA,NA,NA,NA,0,0,0,2018,"Saptari","Control",0
"T100502005",2,20,0,0,5,27,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,5,10,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,27,2,0,50,50,2018,"Saptari","Control",0
"A110402001",1,50,2,0,0,53,1,15,1,5,2065,"PAY LESS TAX",0,0,0,0,15,NA,50,NA,NA,5,NA,NA,1,NA,NA,1,NA,NA,53,NA,0,0,0,2018,"Saptari","Treatment",1
"A104507035",7,38,0,0,2.5,47.5,1,5,2,NA,2071,"IT WAS GIVEN TO HER BY HER FATHER",0,0,0,0,5,4,15,NA,NA,5,NA,NA,1,NA,NA,1,NA,NA,47.5,NA,0,0,0,2018,"Saptari","Treatment",1
"T100503002",3,60,0,0,12,75,1,40,2,NA,2050,"",NA,NA,NA,NA,40,8,13,12,10,5,2,2,1,2,2,1,1,1,NA,2,0,50,50,2019,"SAPTARI","Treatment",1
"T203901004",1,20,0,0,22,43,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,3,9,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA,43,1,1500,0,0,2019,"SAPTARI","Control",0
"T210905004",2,33,0,0,3,38,1,7,2,NA,2068,"",0,0,0,0,7,8,9,7,6,1,1,1,2,2,2,1,1,1,38,2,0,50,50,2019,"SAPTARI","Control",0
"T210703008",2,15,0,2,2,21,1,1,2,NA,2065,"",1,NA,NA,NA,NA,4,9,3,2,3,1,1,2,2,2,1,1,1,15,NA,0,0,0,2019,"SAPTARI","Control",0
"T200101003",1,20,0,0,1,22,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,5,15,5,NA,2,1,NA,2,2,NA,1,1,NA,22,0,0,0,0,2019,"SAPTARI","Control",0
"T107607003",4,100,15,0,12,131,1,6,2,NA,2062,"",0,0,0,0,6,1,20,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,31,2,0,50,50,2019,"SAPTARI","Control",0
"T210701004",2,120,1,7,30,160,1,2,4,NA,NA,"",2,NA,NA,NA,NA,10,41,25,20,5,1,1,1,2,1,1,1,1,160,2,0,50,50,2019,"SAPTARI","Treatment",1
